75	2120 154 706 1726| 5509 814 , 719 , 136 , 4 , | 18 297 3981
75	2120 154 706 1726| 5509 814 , 719 , 136 , | 253
75	2120 154 706 1726| 5509 814 , 719 , 136 , 136 , | 14159
76	1872| 405 112 , 13 , | 18 6297
77	1769 6764| 26 , | 3844
77	1769 6764| 3127 , | 122 3253
77	1769 6764| 49 , | 122980
77	367 4 4349| 719 , 132 , | 1664 2987 1283 2988
77	367 4 4349| 719 , 149 , 15628 , 887 , 149 , | 1769 6764
77	1769 6764| 132 , | 9751
77	1769 6764| 4 , | 18 6875 3710
78	1328 449| 3246 , 132 , 775 , 4 , | 11968 154017
78	10 830| 149 , | 142 836
78	1328 449| 3246 , 132 , 775 , 26 , | 256
78	18 1164 1603| 1465 , 28 , 26 , | 62747 297
79	253 3713| 26 , | 2037
79	404| 5980 , | 253 3713
79	404| 5980 , | 18 14623 347
80	19175| 10 , 93 , 302 , 42 , 18 , 1841 , 10 510 , 1481 , | 18 1298
80	19175| 10 , 93 , 302 , 26 , | 3711
80	19175| 10 , 93 , 1109 , 26 , | 2426
80	19175| 10 93 4 , 258 , | 5293
81	60459 28005 226| 132 , | 28489 2571 26 1870
81	60459 28005 226| 28 , | 154019 4548
81	553 554| 28 , | 60459 28005 226
82	108| 26 , | 7608
82	779| 247 , | 108
82	779| 247 , 26 , | 3179
83	1050| 10 , 10 1216 136 , | 1047 1048
83	1050| 10 , 10 1216 136 , | 187 154 20 1045 1046
83	1050| 10 10 1216 6 , | 18 183 1054
84	18 297| 10 , 58927 , 149 , 325 , 874 , 13634 , | 1328 4 122
84	18 297| 10 , 58927 , 149 , 325 , 874 , 4 , | 4382 104
84	18 297| 10 , 58927 , | 18 293
85	7 14232 260| 28 , | 1971 1972 1271 26 6686
85	7 14232 260| 26 , | 3359 8620
87	852 267 4 18| 2335 869 , 26 , | 7 5711 299
87	852 267 4 18| 149 , | 4474 217
87	852 267 4 18| 49 , | 4931
87	18 6631 1151 4 3483 9930| 5085 , 2 , | 852 267 4 18
87	852 267 4 18| 2335 869 , 10 , 14579 , 6 , | 7 3423 7554
87	4931| | 5433 7554
87	4931| 26 , | 1777
87	4931| 149 , | 7 7714 1252
87	4931| 5811 , | 3589 3234
88	28097 2429| 49 , 10 1264 28 , 929 , 26 , | 18 275 427
88	28097 2429| 10 1264 28 , | 7 995 756
88	28097 2429| 49 , | 2299 42 462
89	404| 149 , | 3784 1144
89	1346 261| 13 , 6878 , 6 , 1144 , | 252 26 1072
89	1346 261| 13 , 6878 , | 18 469
90	11164 455 4069 4 5971| 606 , 2027 , | 402 709
90	11164 455 4069 4 5971| 606 , 2027 , | 696 2067 2010 4 2068
90	11164 455 4069 4 5971| 606 , | 55 402 143
90	11164 455 4069 4 5971| 606 , | 18 5950
91	7 4555 4 3236 3687| 2348 , | 154027 1555
91	7 4555 4 3236 3687| 2348 , 26 , | 403
